epoch	train_loss	train_dice	train_grad	test_loss	test_dice	best_epoch	best_test_dice
18	0.0117	0.9751	0.0864	0.4071	0.5972	1	0.6209
67	0.0129	0.969	0.0989	0.6179	0.4402	64	0.4656
19	0.0113	0.9755	0.1179	0.3892	0.6077	1	0.6209
68	0.0116	0.9716	0.0938	0.6549	0.4329	64	0.4656
69	0.0114	0.9716	0.1022	0.6512	0.4423	64	0.4656
0	0.3833	0.6246	5.4776	0.2887	0.5888	0	0.5888
1	0.289	0.6777	4.617	0.2619	0.6151	1	0.6151
2	0.2649	0.6981	4.44	0.2995	0.5901	1	0.6151
3	0.2362	0.688	4.6554	0.2604	0.6151	1	0.6151
4	0.2095	0.6876	4.0725	0.3116	0.582	1	0.6151
5	0.1751	0.6992	3.6553	0.2951	0.6091	1	0.6151
6	0.1696	0.7314	3.3285	0.2776	0.5971	1	0.6151
7	0.1575	0.7268	2.8186	0.3229	0.5567	1	0.6151
8	0.161	0.7148	2.7095	0.2794	0.593	1	0.6151
9	0.1388	0.7252	2.2938	0.2576	0.6173	9	0.6173
10	0.1485	0.7247	2.3317	0.2803	0.5976	9	0.6173
11	0.1319	0.7408	2.2663	0.2067	0.6387	11	0.6387
12	0.1358	0.7161	2.0164	0.214	0.628	11	0.6387
13	0.1259	0.7278	2.074	0.2519	0.6011	11	0.6387
14	0.123	0.7455	1.8425	0.2424	0.5975	11	0.6387
0	0.3701	0.6302	6.0857	0.3078	0.5594	0	0.5594
1	0.3128	0.6536	5.2277	0.2749	0.6162	1	0.6162
2	0.2417	0.6773	5.8022	0.3029	0.5855	1	0.6162
3	0.2668	0.6672	10.0996	0.2738	0.5979	1	0.6162
4	0.2163	0.6903	4.7233	0.2128	0.6344	4	0.6344
5	0.2095	0.6803	5.037	0.2593	0.6144	4	0.6344
6	0.1873	0.7117	12.065	0.2032	0.6059	4	0.6344
7	0.173	0.6982	3.173	0.2917	0.5684	4	0.6344
8	0.1707	0.6945	3.4364	0.2746	0.558	4	0.6344
9	0.1693	0.705	3.3851	0.1929	0.6166	4	0.6344
10	0.155	0.7016	2.5596	0.2934	0.5778	4	0.6344
11	0.1575	0.6875	2.4143	0.2133	0.6183	4	0.6344
12	0.1576	0.69	2.578	0.2385	0.6149	4	0.6344
13	0.1473	0.6992	2.5581	0.2415	0.579	4	0.6344
14	0.1368	0.7266	2.1752	0.2404	0.6	4	0.6344
15	0.1472	0.7072	2.1766	0.2361	0.5934	4	0.6344
16	0.1401	0.718	2.0065	0.2238	0.6119	4	0.6344
17	0.1374	0.7113	2.3331	0.2813	0.5928	4	0.6344
18	0.1321	0.7317	1.9756	0.2712	0.6059	4	0.6344
19	0.1386	0.6951	2.1554	0.2139	0.6535	19	0.6535
20	0.1356	0.7206	2.5639	0.2342	0.6179	19	0.6535
21	0.1338	0.7242	2.1414	0.2298	0.6105	19	0.6535
22	0.1261	0.7412	1.9791	0.2675	0.6213	19	0.6535
23	0.1252	0.7418	1.7033	0.2889	0.6162	19	0.6535
24	0.1298	0.7266	1.7273	0.2606	0.6342	19	0.6535
25	0.1237	0.7286	2.3003	0.2092	0.6476	19	0.6535
26	0.1148	0.7546	1.5509	0.2581	0.6153	19	0.6535
27	0.1224	0.7531	1.9966	0.2183	0.6335	19	0.6535
28	0.122	0.7467	1.7353	0.1819	0.6807	28	0.6807
29	0.1204	0.7278	1.6876	0.2392	0.6025	28	0.6807
